feature,importance
response_time_seconds,0.16758562652486292
acknowledgement_time_seconds,0.15134424836629634
spo2_change,0.12606309901544688
rr_change,0.10602527065485874
alarm_duration_seconds,0.06435470612617479
escalated_to_staff,0.06400018220227745
alarm_priority,0.05927947352549873
hr_change,0.0588866551243003
action_taken,0.03938555830909541
spo2,0.03285742811806928
time_since_previous_alarm,0.02863817021964232
consciousness_status,0.025219258189970353
alarm_count_10min,0.014251964012017263
respiratory_rate,0.01288307598919446
diastolic_bp,0.010915395668648005
vital_abnormality_count,0.009234761472930123
heart_rate,0.007495226931024174
temperature,0.004819799500834033
alarm_frequency_trend,0.004262323745253762
systolic_bp,0.002576140136919478
alarm_type,0.0024294446908502414
repeated_alarm_count,0.002312759320262792
temp_change,0.0021952028886941866
bp_change,0.0012573171561432524
high_risk_medicine,0.0004843471004552492
device_type,0.0004655308946412863
ward,0.0004026752990463981
age_group,0.0003743588165916483
